title,date,time,venue,type,image,link
Cabaret At The Kit Kat Club,2025-05-24,14:00:00,Playhouse Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/b3c/bd6d3b43-34fb-4da9-b1a6-922dd95a1b3c_RETINA_LANDSCAPE_16_9.jpg,https://theatre.ticketmaster.co.uk/book/1E5MW-playhouse-theatre-london-cabaret/#perf=1E5MW-40B&date=2025-05-24&time=2.00PM
Chicago the Musical,2025-05-31,14:00:00,Capital One Hall,Arts & Theatre,https://s1.ticketm.net/dam/a/87f/bc892845-766f-45e1-b0ae-aa02eabfd87f_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/chicago-the-musical-tysons-virginia-05-31-2025/event/150060D9057856D4
The Great Gatsby,2025-05-24,14:30:00,London Coliseum,Arts & Theatre,https://s1.ticketm.net/dam/a/452/81a10142-caa4-4010-8169-2d04b9e18452_RETINA_LANDSCAPE_16_9.jpg,https://theatre.ticketmaster.co.uk/book/1GWZJ-the-great-gatsby/#perf=1GWZJ-1B&date=2025-05-24&time=2.30PM
Hadestown,2025-05-24,19:30:00,Lyric Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/6bf/d6ab222a-d601-4f98-9cdb-754f4aca06bf_RETINA_PORTRAIT_3_2.jpg,https://theatre.ticketmaster.co.uk/book/1FWKW-hadestown/#perf=1FWKW-14N&date=2025-05-24&time=7.30PM
Hamilton (Touring),2025-07-08,19:30:00,Ohio Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/b36/02ef4d0d-a210-4c92-b239-61749499cb36_SOURCE,https://www.ticketmaster.com/hamilton-touring-columbus-ohio-07-08-2025/event/05006247DB0E5EE2
Harry Potter and the Cursed Child,2025-05-23,19:00:00,Lyric Theatre - NY,Arts & Theatre,https://s1.ticketm.net/dam/a/cd1/143791c4-1f21-4707-8dcd-0ecccbf00cd1_SOURCE,https://www.ticketmaster.com/event/Z7r9jZ1A7C60S
Hell's Kitchen,2025-05-24,20:00:00,Shubert Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/645/c91eedca-59e8-4f7e-8873-f438db4eb645_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/hells-kitchen-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ17PeJZ
The Last Five Years,2025-10-09,19:30:00,Westwego Perf Arts Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/17d/99621882-d9df-4057-aca0-37cb3d32e17d_ARTIST_PAGE_3_2.jpg,https://www.ticketmaster.com/the-last-five-years-westwego-louisiana-10-09-2025/event/1B006246831930DD
Disney Presents The Lion King (Touring),2025-05-24,19:30:00,Music Hall Kansas City,Arts & Theatre,https://s1.ticketm.net/dam/a/6ae/daee34c2-b815-4f0f-a8c1-95189f42a6ae_1472031_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/disney-presents-the-lion-king-touring-kansas-city-missouri-05-24-2025/event/06006159D3DB94B5
Mamma Mia!,2025-05-23,19:30:00,Novello Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/848/270b5ca5-41f3-4679-9aa3-284eb367d848_RECOMENDATION_16_9.jpg,https://theatre.ticketmaster.co.uk/book/1H4KU-mamma-mia-sept-25/#perf=1H4KU-1Y&date=2025-05-23&time=7.30PM
Moulin Rouge,2025-05-24,20:00:00,Al Hirschfeld Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/5da/a33e1fe8-c17d-4d1e-bdc1-327d199f45da_898871_RECOMENDATION_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7oSa3
Stephen Sondheim's Old Friends,2025-05-24,14:00:00,Samuel J Friedman Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/083/d9a16216-743a-4ee6-a8c7-eaa39c351083_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/stephen-sondheims-old-friends-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ17P47M
Othello,2025-05-23,19:00:00,Ethel Barrymore Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/b3d/1cd491d1-d3cb-45a0-9c6c-a2d835b3db3d_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/othello-new-york-new-york-05-23-2025/event/Z1r9uZruZqGZ17Ppf0
The Outsiders,2025-05-24,20:00:00,Bernard B. Jacobs Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/24b/ab9bc062-6e29-42eb-9131-3cb9efdb324b_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/the-outsiders-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ17PfJ7
Wicked,2025-06-03,19:30:00,Apollo Victoria Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/419/01f28290-5703-4eff-a2d6-053f5c79c419_1619391_CUSTOM.jpg,https://theatre.ticketmaster.co.uk/book/1DU1L-apollo-victoria-london-wicked/#perf=1DU1L-42A&date=2025-06-03&time=7.30PM
Dungeons and Dragons: The Twenty-Sided Tavern,2026-02-26,20:00:00,"Loeb Playhouse, Stewart Center",N/A,https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_RETINA_LANDSCAPE_16_9.jpg,N/A
Heathers: The Musical,2025-06-22,20:00:00,New World Stages - Stage 1,Arts & Theatre,https://s1.ticketm.net/dam/a/a60/9e821b33-dcf1-4da3-9669-b5100aa88a60_EVENT_DETAIL_PAGE_16_9.jpg,https://www.ticketmaster.com/heathers-the-musical-new-york-new-york-06-22-2025/event/Z1r9uZruZqGZ17Ps4O
"Hugh Jackman: From New York, With Love",2025-05-24,20:00:00,Radio City Music Hall,Music,https://s1.ticketm.net/dam/a/44e/17176264-319e-43ea-9aaa-9c4360ef644e_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com/hugh-jackman-from-new-york-with-new-york-new-york-05-24-2025/event/3C006148ED2F17DD
Katsura Sunshine's Rakugo,2025-06-14,20:00:00,New World Stages - Stage 2,Arts & Theatre,https://s1.ticketm.net/dam/c/07d/fda8c807-42eb-4b81-9f16-f3a8367e107d_106371_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/katsura-sunshines-rakugo-new-york-new-york-06-14-2025/event/Z1r9uZruZqGZ17P9jy
Little Shop of Horrors,2025-07-25,19:30:00,Bord Gais Energy Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/4e8/98cb2556-1bc3-494d-bdba-2e29c19ec4e8_SOURCE,https://www.ticketmaster.ie/little-shop-of-horrors-dublin-25-07-2025/event/1800616CB51E2EEC
Gazillion Bubble Show (NY),2025-01-04,13:00:00,The Louisville Palace,Arts & Theatre,https://s1.ticketm.net/dam/a/6f1/1f9b3d55-c1c0-49f7-a23e-08abfeb3a6f1_ARTIST_PAGE_3_2.jpg,https://concerts.livenation.com/gazillion-bubble-show-ny-louisville-kentucky-01-04-2025/event/16006133317E7527
Sexual Misconduct of the Middle Classes,2025-05-25,19:00:00,Audible's Minetta Lane Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/c03/dcba346b-1bce-422f-a11b-b0193b47bc03_CUSTOM.jpg,https://www.ticketmaster.com/sexual-misconduct-of-the-middle-classes-new-york-new-york-05-25-2025/event/30006282DA6B45C7
The Play That Goes Wrong,2025-05-24,19:30:00,Duchess Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/e8d/dbb608a5-b509-478f-8f3f-f8723e606e8d_RECOMENDATION_16_9.jpg,https://theatre.ticketmaster.co.uk/book/17YY4-the-play-that-goes-wrong/#perf=17YY4-65C&date=2025-05-24&time=7.30PM
Titanique,2025-05-24,19:30:00,Criterion Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/291/177385ba-86ac-473f-83f4-9369ec867291_SOURCE,https://theatre.ticketmaster.co.uk/book/1GTBN-titanique/#perf=1GTBN-5A&date=2025-05-24&time=7.30PM
& Juliet,2025-06-16,19:30:00,Wales Millennium Centre,Arts & Theatre,https://s1.ticketm.net/dam/a/2d1/12d88370-dc1e-48db-9aa0-6ec7596022d1_CUSTOM.jpg,https://theatre.ticketmaster.co.uk/book/1H5NA-juliet/#perf=1H5NA-2&date=2025-06-16&time=7.30PM
A Beautiful Noise (Touring),2025-05-27,19:00:00,San Diego Civic Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/dbb/98ba30fe-5d76-40a8-a584-70dc27750dbb_EVENT_DETAIL_PAGE_16_9.jpg,https://www.ticketmaster.com/a-beautiful-noise-touring-san-diego-california-05-27-2025/event/0A006245AF0641CF
Blue Man Group,2026-01-24,20:00:00,Fox Theatre Atlanta,N/A,https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_RETINA_LANDSCAPE_16_9.jpg,N/A
Back To The Future The Musical,2025-05-24,14:30:00,Adelphi Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/8fb/2456c93d-7a85-4f09-913c-ffad313a28fb_RETINA_PORTRAIT_16_9.jpg,https://theatre.ticketmaster.co.uk/book/1FWK6-back-to-the-future-the-musical/#perf=1FWK6-19E&date=2025-05-24&time=2.30PM
Beauty and The Beast,2025-07-24,19:00:00,Crown Theatre Perth,Arts & Theatre,https://s1.ticketm.net/dam/a/033/ab94b5d7-f350-4738-b0a4-d0b394906033_1823881_TABLET_LANDSCAPE_3_2.jpg,https://www.ticketmaster.com.au/beauty-and-the-beast-burswood-24-07-2025/event/25006176DDBD350D
Beetlejuice,2025-05-27,19:30:00,Salle Southam Hall,N/A,https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_RETINA_LANDSCAPE_16_9.jpg,N/A
Kimberly Akimbo,2025-07-08,19:30:00,Orpheum Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/7f0/da5c0609-34b5-4c5a-af11-8b609bc927f0_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/kimberly-akimbo-minneapolis-minnesota-07-08-2025/event/0600624F1E438FC4
Les Miserables,2025-05-23,19:30:00,Sondheim Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/3b0/c4eee40f-453d-49ce-b8ff-445d66c903b0_ARTIST_PAGE_3_2.jpg,https://theatre.ticketmaster.co.uk/book/1GWNG-les-miserables/#perf=1GWN6-1R&date=2025-05-23&time=7.30PM
Life of Pi,2025-10-21,19:30:00,Au-Rene Theater at the Broward,N/A,https://s1.ticketm.net/dam/c/8cf/a6653880-7899-4f67-8067-1f95f4d158cf_124761_RETINA_LANDSCAPE_16_9.jpg,N/A
Mayday Parade,2025-05-25,17:00:00,Stone Pony Summer Stage,Music,https://s1.ticketm.net/dam/a/f98/0b1641da-181a-46b2-ae8e-8f27deb2df98_RECOMENDATION_16_9.jpg,https://www.ticketmaster.com/mayday-parade-asbury-park-new-jersey-05-25-2025/event/0000622860380C2B
Shucked (Touring),2025-06-10,20:00:00,Au-Rene Theater at the Broward Center,Arts & Theatre,https://s1.ticketm.net/dam/a/c3e/7a92becc-43d6-411c-aa79-276e5d6f8c3e_SOURCE,https://www.ticketmaster.com/shucked-touring-ft-lauderdale-florida-06-10-2025/event/0D00624BACCC24E8
Some Like it Hot (Touring),2025-06-21,14:00:00,DPAC - Durham Performing Arts Center,Arts & Theatre,https://s1.ticketm.net/dam/a/e49/2c7960c0-ac0b-4014-9e8f-e4ba0bc26e49_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/some-like-it-hot-touring-durham-north-carolina-06-21-2025/event/2D006132C57E76B0
TINA - The Tina Turner Musical,2025-05-24,14:30:00,Aldwych Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/79f/7483bfbb-f491-40d4-ade6-f7c55f0bf79f_SOURCE,https://theatre.ticketmaster.co.uk/book/1F1W0-tina-the-tina-turner-musical/#perf=1F1W0-29I&date=2025-05-24&time=2.30PM
